smiles1,pKa,pKa_type,smiles
Brc1ccc(-c2nn[n-]n2)cc1,3.73,acidic,Brc1ccc(-c2nn[n-]n2)cc1
Brc1ccc(-c2nn[nH]n2)cc1,3.73,acidic,Brc1ccc(-c2nn[nH]n2)cc1
Brc1ccc(-c2nnn[nH]2)cc1,3.73,acidic,Brc1ccc(-c2nnn[nH]2)cc1
Brc1ccc(Cc2nn[n-]n2)cc1,4.62,acidic,Brc1ccc(Cc2nn[n-]n2)cc1
Brc1ccc(Cc2nn[nH]n2)cc1,4.62,acidic,Brc1ccc(Cc2nn[nH]n2)cc1
Brc1ccc(Cc2nnn[nH]2)cc1,4.62,acidic,Brc1ccc(Cc2nnn[nH]2)cc1
Brc1cccc(-c2nn[n-]n2)c1,3.82,acidic,Brc1cccc(-c2nn[n-]n2)c1
Brc1cccc(-c2nn[nH]n2)c1,3.82,acidic,Brc1cccc(-c2nn[nH]n2)c1
Brc1cccc(-c2nnn[nH]2)c1,3.82,acidic,Brc1cccc(-c2nnn[nH]2)c1
Brc1ccccc1-c1nn[n-]n1,3.83,acidic,Brc1ccccc1-c1nn[n-]n1
Brc1ccccc1-c1nn[nH]n1,3.83,acidic,Brc1ccccc1-c1nn[nH]n1
Brc1ccccc1-c1nnn[nH]1,3.83,acidic,Brc1ccccc1-c1nnn[nH]1
Brc1nn[n-]n1,2.13,acidic,Brc1nn[n-]n1
Brc1nn[nH]n1,2.13,acidic,Brc1nn[nH]n1
Brc1nnn[nH]1,2.13,acidic,Brc1nnn[nH]1
C#CC#CC#CCC(O)CCC(=O)O,4.75,acidic,C#CC#CC#CCC(O)CCC(=O)O
C#CC#CC#CCC(O)CCC(=O)[O-],4.75,acidic,C#CC#CC#CCC(O)CCC(=O)[O-]
C#CCC(=O)O,3.31,acidic,C#CCC(=O)O
C#CCC(=O)[O-],3.31,acidic,C#CCC(=O)[O-]
C#CCCC(=O)O,4.2,acidic,C#CCCC(=O)O
C#CCCC(=O)[O-],4.2,acidic,C#CCCC(=O)[O-]
C#CCCCC(=O)O,4.6,acidic,C#CCCCC(=O)O
C#CCCCC(=O)[O-],4.6,acidic,C#CCCCC(=O)[O-]
C#CCCCCC(=O)O,4.58,acidic,C#CCCCCC(=O)O
C#CCCCCC(=O)[O-],4.58,acidic,C#CCCCCC(=O)[O-]
C#N,9.18,acidic,C#N
C/C(=C/Cl)C(=O)[O-],3.05,acidic,C/C(=C/Cl)C(=O)[O-]
C/C(=C\Cl)C(=O)[O-],4.03,acidic,C/C(=C\Cl)C(=O)[O-]
C/C(=C\c1ccccc1)CC(=O)[O-],5.35,acidic,C/C(=C\c1ccccc1)CC(=O)[O-]
C/C(O)=C/C(N)=O,9.46,acidic,C/C(O)=C/C(N)=O
C/C=C(/C)C(=O)[O-],4.3,acidic,C/C=C(/C)C(=O)[O-]
C/C=C(\Cl)C(=O)O,3.22,acidic,C/C=C(\Cl)C(=O)O
C/C=C(\Cl)C(=O)[O-],3.22,acidic,C/C=C(\Cl)C(=O)[O-]
C/C=C/C#CC(=O)[O-],2.67,acidic,C/C=C/C#CC(=O)[O-]
C/C=C/C(=O)O,4.79,acidic,C/C=C/C(=O)O
C/C=C/C(=O)[O-],4.79,acidic,C/C=C/C(=O)[O-]
C/C=C/C1=C(O)c2ccccc2C(=O)C1=O,4.78,acidic,C/C=C/C1=C(O)c2ccccc2C(=O)C1=O
C/C=C/C1=C([O-])c2ccccc2C(=O)C1=O,4.78,acidic,C/C=C/C1=C([O-])c2ccccc2C(=O)C1=O
C/C=C/C=C/C(=O)O,4.5,acidic,C/C=C/C=C/C(=O)O
C/C=C/C=C/C(=O)[O-],4.53,acidic,C/C=C/C=C/C(=O)[O-]
C/C=C/CC(=O)[O-],4.28,acidic,C/C=C/CC(=O)[O-]
C/C=C/CCC(=O)O,4.72,acidic,C/C=C/CCC(=O)O
C/C=C/CCC(=O)[O-],4.72,acidic,C/C=C/CCC(=O)[O-]
C/C=C\C=C/C(=O)[O-],4.51,acidic,C/C=C\C=C/C(=O)[O-]
C1COCCOCc2n[nH]c(n2)COCCOCCO1,9.55,acidic,C1COCCOCc2n[nH]c(n2)COCCOCCO1
C=C(C)C(=O)O,4.65,acidic,C=C(C)C(=O)O
C=C(C)C(=O)[O-],4.66,acidic,C=C(C)C(=O)[O-]
C=C(C)C(C)(C(N)=O)C(=O)[O-],3.42,acidic,C=C(C)C(C)(C(N)=O)C(=O)[O-]
C=C(C)[C@@H]1CN(C(C)=O)[C@H](C(=O)OC)[C@@H]1CC(=O)[O-],4.6,acidic,C=C(C)[C@@H]1CN(C(C)=O)[C@H](C(=O)OC)[C@@H]1CC(=O)[O-]
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.1,acidic,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
