smiles,pKa,pKa_type
Brc1c(NC2CC2)nc(C2CC2)nc1N1CCCCCC1,6.21,basic
Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,7.46,basic
Brc1cc(Br)c(NC2=[NH+]CCN2)c(Br)c1,7.46,basic
Brc1cc2cccnc2c2ncccc12,4.2,basic
Brc1ccc(Br)c(N(CC2CC2)C2=NCCN2)c1,11,basic
Brc1ccc(Br)c(N(CC2CC2)C2=[NH+]CCN2)c1,11,basic
Brc1ccc(C2CN3C=CSC3=N2)cc1,8.55,basic
Brc1ccc(C2NCCS2)cc1,5.05,basic
Brc1ccc(C2[NH2+]CCS2)cc1,5.05,basic
Brc1ccc(Cc2c3ccccc3nc3ccccc23)cc1,7,basic
Brc1ccc(N(CC2CC2)C2=NCCN2)c(Br)c1,11.2,basic
Brc1ccc(N(CC2CC2)C2=[NH+]CCN2)c(Br)c1,11.2,basic
Brc1ccc(N2CCc3ccccc3C2)nc1,3,basic
Brc1ccc(NC2=NCCN2)cc1,9.65,basic
Brc1ccc(NC2=[NH+]CCN2)cc1,9.65,basic
Brc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,7,basic
Brc1ccc2[nH+]c3c(c(N4CCOCC4)c2c1)CCC3,6.38,basic
Brc1ccc2c(c1)CCN2,3.7,basic
Brc1ccc2c(c1)c1c3n2CC[NH+](Cc2ccccc2)C3CCC1,6.95,basic
Brc1ccc2cccnc2c1,3.87,basic
Brc1ccc2ncccc2c1,3.87,basic
Brc1cccc(Br)c1N(C1=NCCN1)C1CCCC1,11.2,basic
Brc1cccc(Br)c1N(C1=NCCN1)C1CCCCC1,11.3,basic
Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCC1,11.2,basic
Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCCC1,11.3,basic
Brc1cccc(Br)c1N(CC1CC1)C1=NCCN1,10.88,basic
Brc1cccc(Br)c1N(CC1CC1)C1=[NH+]CCN1,10.88,basic
Brc1cccc(Br)c1N(CC1CCC1)C1=NCCN1,10.9,basic
Brc1cccc(Br)c1N(CC1CCC1)C1=[NH+]CCN1,10.9,basic
Brc1cccc(Br)c1N(CC1CCCC1)C1=NCCN1,10.9,basic
Brc1cccc(Br)c1N(CC1CCCC1)C1=[NH+]CCN1,10.9,basic
Brc1cccc(Br)c1N(CC1CCCCC1)C1=NCCN1,11.2,basic
Brc1cccc(Br)c1N(CC1CCCCC1)C1=[NH+]CCN1,11.2,basic
Brc1cccc(Br)c1N(Cc1ccccc1)C1=NCCN1,10.4,basic
Brc1cccc(Br)c1N(Cc1ccccc1)C1=[NH+]CCN1,10.4,basic
Brc1cccc(Br)c1N(Cc1ccco1)C1=NCCN1,10.5,basic
Brc1cccc(Br)c1N(Cc1ccco1)C1=[NH+]CCN1,10.5,basic
Brc1cccc(Br)c1N(Cc1cccs1)C1=NCCN1,10.51,basic
Brc1cccc(Br)c1N(Cc1cccs1)C1=[NH+]CCN1,10.51,basic
Brc1cccc(Br)c1NC1=NCCN1,7.85,basic
Brc1cccc(Br)c1NC1=[NH+]CCN1,7.85,basic
Brc1cccc(N(CC2CC2)C2=NCCN2)c1Br,11.1,basic
Brc1cccc(N(CC2CC2)C2=[NH+]CCN2)c1Br,11.1,basic
Brc1cccc(N2CCc3ccccc3C2)n1,2,basic
Brc1ccccc1N(CC1CC1)C1=NCCN1,11.2,basic
Brc1ccccc1N(CC1CC1)C1=[NH+]CCN1,11.2,basic
Brc1ccccc1Nc1c2ccccc2nc2ccccc12,6.41,basic
Brc1ccccn1,0.9,basic
Brc1cccnc1,2.91,basic
Brc1ccnc2c1ccc1cccnc12,4.03,basic
Brc1ccncc1,3.78,basic
Brc1cnc2c(ccc3cc(Br)cnc32)c1,3.9,basic
Brc1cnc2ccccc2c1,2.69,basic
Brc1cncc2ccccc12,3.54,basic
Brc1ncc[nH]1,3.79,basic
C#CC(C)(C(C)C)[NH+](C)C(C)C,8.7,basic
C#CC(C)(C)NC(C)(C)CC,9,basic
C#CC(C)(C)Nc1ccccc1,4.26,basic
C#CC(C)(C)[NH+](C)C(C)(C)C,9.3,basic
C#CC(C)(C)[NH+](C)C(C)(C)C#C,6.65,basic
C#CC(C)(C)[NH+](C)C(C)C,8.7,basic
C#CC(C)(C)[NH+](CC)C(C)(C)C,9.6,basic
C#CC(C)(C)[NH2+]C(C)(C)C#C,6.45,basic
C#CC(C)(C)[NH2+]C(C)(C)C=C,8.2,basic
C#CC(C)(C)[NH2+]C(C)(C)CC,9,basic
C#CC(C)Nc1ccccc1,3.25,basic
C#CC(CC)(CC)[NH+](C)C(C)C,8.8,basic
C#CC(CC)(CC)[NH+](CC)C(C)C,8.2,basic
C#CC1(O)CC(C)N(C)C2CCCCC21,9.53,basic
C#CC1(O)CC(C)NC2CCCCC21,9.73,basic
C#CCCCCCC[NH3+],10.74,basic
C#CCCCCC[NH3+],10.64,basic
C#CCCCC[NH+](C)C,9.24,basic
C#CCCCC[NH3+],10.5,basic
C#CCCC[NH+](C)C,8.88,basic
C#CCCC[NH3+],10.21,basic
C#CCC[NH+](C)C,8.33,basic
C#CCC[NH3+],9.23,basic
C#CCN,8.15,basic
C#CCN(C)[C@H](C)Cc1ccc(F)cc1,7.42,basic
C#CCN(C)[C@H](C)Cc1ccccc1,7.48,basic
C#CCN(C1=NCCN1)c1c(Br)cccc1Br,10.1,basic
C#CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.1,basic
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.3,basic
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.4,basic
C#CCNCC#C,6.08,basic
C#CCNN,5.46,basic
C#CCNc1ccccc1,3.06,basic
C#CCOc1noc2c1CNCC2,7.6,basic
C#CCOc1noc2c1C[NH2+]CC2,7.6,basic
C#CC[NH+](C)C,7.05,basic
C#CC[NH+](C)[C@H](C)Cc1ccccc1,8.015,basic
C#CC[NH+]1CCN(C(=O)OCC)CC1,5.44,basic
C#CC[NH+]1CCOCC1,5.54,basic
C#CC[NH2+]CC#C,6.08,basic
C#CC[NH3+],8.19,basic
C#C[C@]1(O)C[C@@H](C)[NH+](C)[C@@H]2CCCC[C@H]21,9.53,basic
C#C[C@]1(O)C[C@@H](C)[NH+](C)[C@H]2CCCC[C@@H]21,8.99,basic
C#C[C@]1(O)C[C@@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.73,basic
C#C[C@]1(O)C[C@@H](C)[NH2+][C@H]2CCCC[C@@H]21,9.29,basic
C#C[C@]1(O)C[C@H](C)[NH+](C)[C@@H]2CCCC[C@H]21,9.22,basic
C#C[C@]1(O)C[C@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.63,basic
C(=C/c1ccccc1)\CN1CC[NH+](C(c2ccccc2)c2ccccc2)CC1,7.47,basic
C(=C/c1ccncc1)\c1ccccc1,5.97,basic
C(=C\c1ccncc1)\c1ccccc1,5.77,basic
C(=N/c1ccccc1)\c1ccccc1,4.55,basic
C(=Nc1ccccc1)Nc1ccccc1,6.3,basic
C(Nc1ccccc1)=[NH+]c1ccccc1,6.3,basic
C/C(=C(\CCO)SSCCC(C)C)N(C=O)Cc1cnc(C)nc1N,5.58,basic
C/C(=C\c1cc(C)ccn1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1,5.5,basic
C/C(=C\c1ccc(C)cn1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1,4.5,basic
C/C(=C\c1cccc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1,5.5,basic
C/C(=C\c1ccccn1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1,5,basic
C/C(N)=N/O,5.9,basic
C/C(N)=N/[NH+](C)C,10,basic
C/C(N)=[NH+]/O,5.9,basic
C/C=C/CN(C1=NCCN1)c1c(Br)cccc1Br,11,basic
C/C=C/CN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11,basic
C/C=C/COc1noc2c1C[NH2+]CC2,7.7,basic
C/C=C1/C[NH+]2[C@@H]3C[C@H]1C1[C@@H](O)[C@]4(C[C@@H]12)c1ccccc1N(C)[C@@H]34,8.5,basic
C/N=C(/SC)c1ccccc1,6.42,basic
C/N=C(\C)SC,7.71,basic
C/N=C(\NC#N)Nc1cccc(-c2csc([NH+]=C(N)N)n2)c1,6.2,basic
