smiles,pKa,marvin_pKa,marvin_atom,marvin_pKa_type,original_dataset,ID
Brc1c(NC2CC2)nc(C2CC2)nc1N1CCCCCC1,6.21,6.09,10,basic,['chembl25'],1702768
Brc1cc(Br)c(NC2=[NH+]CCN2)c(Br)c1,7.46,8.2,9,basic,['chembl25'],273537
Brc1cc2cccnc2c2ncccc12,4.2,3.94,9,basic,['datawarrior'],7175
Brc1ccc(-c2nn[n-]n2)cc1,3.73,5.91,8,acidic,['datawarrior'],998
Brc1ccc(Br)c(N(CC2CC2)C2=[NH+]CCN2)c1,11,8.94,13,basic,['chembl25'],560562
Brc1ccc(C2[NH2+]CCS2)cc1,5.05,7.57,7,basic,['datawarrior'],1138
Brc1ccc(Cc2c3ccccc3nc3ccccc23)cc1,7,6.36,13,basic,['chembl25'],14699136
Brc1ccc(Cc2nn[n-]n2)cc1,4.62,5.73,9,acidic,['chembl25'],6372403
Brc1ccc(N(CC2CC2)C2=[NH+]CCN2)c(Br)c1,11.2,8.96,14,basic,['chembl25'],575043
Brc1ccc(N2CCc3ccccc3C2)nc1,3,4.6,15,basic,['chembl25'],871891
Brc1ccc(NC2=[NH+]CCN2)cc1,9.65,9.36,8,basic,['chembl25'],14686577
Brc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,7,8.49,13,basic,['chembl25'],819316
Brc1ccc2[nH+]c3c(c(N4CCOCC4)c2c1)CCC3,6.38,7.88,10,basic,['datawarrior'],5473
Brc1ccc2c(c1)CCN2,3.7,4.46,9,basic,['datawarrior'],2042
Brc1ccc2c(c1)c1c3n2CC[NH+](Cc2ccccc2)C3CCC1,6.95,6.54,7,basic,['chembl25'],15185598
Brc1cccc(-c2nn[n-]n2)c1,3.82,5.89,9,acidic,['datawarrior'],997
Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCC1,11.2,8.78,14,basic,['chembl25'],558184
Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCCC1,11.3,8.83,15,basic,['chembl25'],565134
Brc1cccc(Br)c1N(CC1CC1)C1=[NH+]CCN1,10.88,8.74,13,basic,['chembl25'],583564
Brc1cccc(Br)c1N(CC1CCC1)C1=[NH+]CCN1,10.9,8.79,14,basic,['chembl25'],583573
Brc1cccc(Br)c1N(CC1CCCC1)C1=[NH+]CCN1,10.9,8.84,15,basic,['chembl25'],570184
